is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ticker,name,has_houyi,has_whale,composite_score
True,1,-0.029999891916910805,-0.01999982198079427,True,False,賣出 (動能轉弱),14.609999656677246,2026-06-17 00:00:00,AES,AES Corporation,False,False,0
True,1,1.5033302307128906,2.0299975077311196,True,False,觀望 (動能減弱),76.13999938964844,2026-06-17 00:00:00,BLDR,Builders FirstSource,False,False,0
True,1,-0.8816680908203125,2.6483357747395835,True,False,賣出 (動能轉弱),353.3299865722656,2026-06-17 00:00:00,CPAY,Corpay,False,False,0
True,1,31.349995930989582,6.740010579427086,True,False,買入 (動能增強),1931.77001953125,2026-06-17 00:00:00,FIX,Comfort Systems USA,False,False,2
True,1,-1.283838907877604,-0.9597981770833334,True,False,賣出 (動能轉弱),231.88999938964844,2026-06-17 00:00:00,GRMN,Garmin,False,False,0
True,1,-0.18333943684895848,7.569986979166665,True,False,賣出 (動能轉弱),546.0900268554688,2026-06-17 00:00:00,IDXX,Idexx Laboratories,False,False,0
True,1,-0.8330535888671874,-1.0164019266764324,True,False,觀察 (跌勢收斂),125.44000244140625,2026-06-17 00:00:00,IRM,Iron Mountain,False,False,1
True,1,1.956666310628255,1.7766660054524737,True,False,買入 (動能增強),97.16999816894531,2026-06-17 00:00:00,KKR,KKR & Co.,True,True,5
True,1,0.39333343505859386,1.6199989318847654,True,False,觀望 (動能減弱),86.4800033569336,2026-06-17 00:00:00,LEN,Lennar,False,False,0
True,1,-2.622985839843749,-2.915176391601562,True,False,觀察 (跌勢收斂),313.1700134277344,2026-06-17 00:00:00,LHX,L3Harris,False,False,1
True,1,-0.10500081380208348,1.9866689046223955,True,False,賣出 (動能轉弱),456.2200012207031,2026-06-17 00:00:00,MCO,Moody's Corporation,False,False,0
True,1,0.3200073242187498,4.438339233398437,True,False,觀望 (動能減弱),400.70001220703125,2026-06-17 00:00:00,MSI,Motorola Solutions,False,False,0
True,1,-0.2757355372111002,-0.12444289525349933,True,False,賣出 (動能轉弱),9.979999542236328,2026-06-17 00:00:00,PSKY,Paramount Skydance Corporation,True,False,1
True,1,3.6189015706380205,7.051483154296875,True,False,觀望 (動能減弱),418.0199890136719,2026-06-17 00:00:00,SPGI,S&P Global,False,False,0
True,1,0.3691215515136719,0.47487767537434894,True,False,觀望 (動能減弱),110.29000091552734,2026-06-17 00:00:00,XYL,Xylem Inc.,False,False,0
True,0,1.6899998982747395,0.7616678873697916,True,False,買入 (動能增強),140.5399932861328,2026-06-17 00:00:00,ABNB,Airbnb,False,True,4
True,0,2.987599690755208,4.4208526611328125,True,False,觀望 (動能減弱),414.45001220703125,2026-06-17 00:00:00,ADI,Analog Devices,False,False,0
True,0,2.0787226359049478,2.0510660807291665,True,False,買入 (動能增強),130.17999267578125,2026-06-17 00:00:00,ALLE,Allegion,False,False,2
True,0,-12.561670939127604,-10.8800048828125,True,False,賣出 (動能轉弱),282.7200012207031,2026-06-17 00:00:00,ALNY,Alnylam Pharmaceuticals,False,False,0
True,0,2.457967122395833,2.1872482299804688,True,False,買入 (動能增強),231.27000427246094,2026-06-17 00:00:00,AME,Ametek,False,True,4
False,0,13.269999186197916,8.903330485026041,False,True,強烈買入 (爆發),471.9700012207031,2026-06-17 00:00:00,AMP,Ameriprise Financial,False,False,3
False,0,2.048685709635416,3.9903844197591147,False,True,強烈買入 (爆發),181.08999633789062,2026-06-17 00:00:00,AMT,American Tower,False,False,3
True,0,-4.086669921875,-5.7649993896484375,True,False,觀察 (跌勢收斂),281.75,2026-06-17 00:00:00,APD,Air Products,False,False,1
True,0,-0.05999755859375,0.9366683959960938,True,False,賣出 (動能轉弱),179.6300048828125,2026-06-17 00:00:00,AVB,AvalonBay Communities,False,False,0
True,0,0.9559631347656249,0.3562596638997395,True,False,買入 (動能增強),159.5500030517578,2026-06-17 00:00:00,AVY,Avery Dennison,False,False,2
