ticker,base_signal,base_score,squeeze_state,momentum,atm_iv,call_skew,put_skew,risk_reversal,skew_bias,total_volume,avg_spread_pct,otm_call_distance,otm_put_distance,liquidity_ok,iv_overheated,skew_score_v2,final_score_v2,score_delta,final_action,reason
COST,BUY,2,Squeezing,4.226664225260416,0.22150436706542967,0.012604,-0.024139,0.036743,bullish,244.0,0.1295,0.0051,0.0051,True,False,10,12,10.0,NO_TRADE,Squeeze + call skew confirmation
FISV,WATCH_CONVERGE,1,Squeezing,-2.2383321126302085,0.39624627197265627,0.000732,-0.011474,0.012207,neutral,610.0,0.1463,0.0944,0.0944,True,False,10,11,10.0,NO_TRADE,Squeeze + call skew confirmation
DHI,BUY,5,Squeezing,1.606679280598958,0.37720349365234374,-0.010376,-0.041748,0.031372,bullish,198.0,0.4207,0.0336,0.0336,False,,0,5,0,NO_SKEW_DATA,Option liquidity too low: spread=42.1%>25%
TAP,BUY,4,Squeezing,0.21666781107584637,0.2387771435546875,0.016601,0.09912,-0.082519,bearish,293.0,0.6266,0.0582,0.0582,False,,0,4,0,NO_SKEW_DATA,Option liquidity too low: spread=62.7%>25%
ADM,BUY,3,Squeezing,2.284969329833984,0.3327703442382813,-0.009521,-0.023437,0.013916,neutral,1050.0,0.1368,0.032,0.032,True,False,0,3,0.0,NO_TRADE,No clear skew signal
AJG,STRONG_BUY,3,Fired,7.448333740234374,0.3074410076904296,-0.003113,0.036804,-0.039917,bearish,166.0,0.4242,0.0368,0.0368,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: spread=42.4%>25%
CBOE,STRONG_BUY,3,Fired,0.4583231608072924,0.37183245361328127,-0.018432,0.025085,-0.043518,bearish,249.0,0.3326,0.0325,0.0325,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: spread=33.3%>25%
CSX,BUY,2,Squeezing,0.37166722615559894,0.24658956542968752,0.032715,0.023437,0.009277,neutral,814.0,0.4306,0.0486,0.0486,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=43.1%>25%
ADP,BUY,2,Squeezing,6.881668090820312,0.31427687683105465,-0.041076,-0.018555,-0.022522,bearish,58.0,0.3786,0.0353,0.0353,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=37.9%>25%
AMT,BUY,2,Squeezing,2.2699991861979165,0.27600821655273433,-0.010132,-0.014892,0.004761,neutral,331.0,0.2331,0.028,0.028,True,False,0,2,0.0,NO_TRADE,No clear skew signal
AWK,BUY,2,Squeezing,3.648488362630208,0.22449505981445309,-0.00769,-0.012085,0.004394,neutral,203.0,0.2999,0.0357,0.0357,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=30.0%>25%
