ticker,base_signal,base_score,squeeze_state,momentum,atm_iv,call_skew,put_skew,risk_reversal,skew_bias,total_volume,avg_spread_pct,otm_call_distance,otm_put_distance,liquidity_ok,iv_overheated,skew_score_v2,final_score_v2,score_delta,final_action,reason
ZTS,BUY,2,Squeezing,1.6575851440429688,0.5510298803710938,0.006348,-0.026123,0.03247,bullish,3186.0,0.2311,0.0658,0.0658,True,False,10,12,10.0,NO_TRADE,Squeeze + call skew confirmation
KMI,SELL,0,Squeezing,-0.2950003941853841,0.20264469238281246,0.0,0.061523,-0.061523,bearish,55.0,0.1964,0.0158,0.0158,True,False,10,10,10.0,NO_TRADE,Bearish squeeze + put skew confirmation
CHD,BUY,4,Squeezing,1.713333129882812,0.4616753051757813,-0.136962,-0.014892,-0.122069,bearish,83.0,1.2018,0.0512,0.0512,False,,0,4,0,NO_SKEW_DATA,Option liquidity too low: spread=120.2%>25%
ARES,BUY,3,Squeezing,4.875001271565754,0.5199022619628906,0.001587,-0.008667,0.010254,neutral,15.0,0.2087,0.0403,0.0403,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=15<50
JCI,HOLD_WEAKEN,2,Squeezing,0.045000712076823046,0.36939107177734376,-0.035156,-0.009888,-0.025268,bearish,366.0,0.257,0.0348,0.0348,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=25.7%>25%
COIN,BUY,2,Squeezing,3.209999084472656,0.7760032165527344,0.0,-0.004272,0.004272,neutral,1068.0,0.0884,0.0153,0.0153,True,False,0,2,0.0,NO_TRADE,No clear skew signal
CSGP,BUY,2,Squeezing,0.058332761128743416,0.5820354296875,0.0,-0.024414,0.024414,bullish,1278.0,2.0761,0.1697,0.1697,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=207.6%>25%
DVA,BUY,2,Squeezing,5.00000254313151,0.5958292370605469,-0.033203,-0.057006,0.023803,bullish,10.0,0.2152,0.0419,0.0419,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=10<50
ED,HOLD_WEAKEN,2,Squeezing,0.1566696166992187,0.24243921630859372,0.011963,0.033691,-0.021728,bearish,69.0,7.378,0.0456,0.0456,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=737.8%>25%
RVTY,BUY,2,Squeezing,0.2648735046386719,,,,,neutral,0.0,,,,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=0<50
