ticker,base_signal,base_score,squeeze_state,momentum,atm_iv,call_skew,put_skew,risk_reversal,skew_bias,total_volume,avg_spread_pct,otm_call_distance,otm_put_distance,liquidity_ok,iv_overheated,skew_score_v2,final_score_v2,score_delta,final_action,reason
ALB,BUY,4,Squeezing,7.076670328776041,0.7092314233398438,0.007812,-0.04541,0.053222,bullish,46.0,0.4209,0.0249,0.1493,False,,0,4,0,NO_SKEW_DATA,Option liquidity too low: volume=46<50; spread=42.1%>25%
AES,BUY,3,Squeezing,0.06130456924438476,0.15821154296875,-0.003906,0.093749,-0.097655,bearish,23.0,,0.0347,0.0347,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=23<50
BLK,STRONG_BUY,3,Fired,30.836649576822914,,,,,neutral,0.0,,,,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=0<50
BRK-B,STRONG_BUY,3,Fired,8.703328450520832,0.17194431579589847,-0.005646,-0.023437,0.017792,neutral,121.0,0.0903,0.0103,0.0103,True,False,0,3,0.0,NO_TRADE,No clear skew signal
CME,BUY,3,Squeezing,1.9783325195312496,0.2505568109130859,0.027282,0.079894,-0.052612,bearish,50.0,7.781,0.101,0.0841,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: spread=778.1%>25%
ALL,HOLD_WEAKEN,2,Squeezing,0.043332417805989454,0.22705851074218747,-0.001099,0.036865,-0.037963,bearish,88.0,0.3232,0.0464,0.0464,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=32.3%>25%
EG,BUY,2,Squeezing,3.7333323160807286,0.24784077362060547,-0.030609,0.030883,-0.061492,bearish,3.0,0.5487,0.0575,0.0287,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=3<50; spread=54.9%>25%
KMB,BUY,2,Squeezing,0.2116661071777343,0.33814138427734375,0.0,-0.016846,0.016846,neutral,102.0,1.6278,0.121,0.0103,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=162.8%>25%
MS,BUY,2,Squeezing,3.5904591878255205,0.32532412963867186,-0.014648,-0.023681,0.009033,neutral,213.0,0.0818,0.0258,0.0258,True,False,0,2,0.0,NO_TRADE,No clear skew signal
AME,BUY,2,Squeezing,0.258331298828125,0.2891306439208984,-0.008362,0.020263,-0.028625,bearish,17.0,0.2655,0.0432,0.0432,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=17<50; spread=26.6%>25%
COIN,BUY,2,Squeezing,1.6533381144205732,0.7227200579833983,-0.010681,-0.036316,0.025635,bullish,179.0,0.115,0.0248,0.0248,True,False,0,2,0.0,NO_TRADE,No clear skew signal
COST,BUY,2,Squeezing,8.1463623046875,0.31642834457397456,-0.017471,-0.02449,0.007019,neutral,71.0,0.0874,0.0242,0.0048,True,False,0,2,0.0,NO_TRADE,No clear skew signal
CPT,BUY,2,Squeezing,2.2749977111816406,0.3100654931640625,0.0,0.0,0.0,neutral,4.0,,0.1982,0.0018,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=4<50
AFL,WATCH_CONVERGE,1,Squeezing,-0.43166605631510424,0.1687094848632813,0.026367,0.0,0.026367,bullish,7.0,2.1667,0.0173,0.1218,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=7<50; spread=216.7%>25%
MCO,SELL,1,Squeezing,-9.973322550455729,0.288947540283203,0.0,0.017334,-0.017334,neutral,15.0,0.3866,0.1141,0.0228,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=15<50; spread=38.7%>25%
ABNB,SELL,1,Squeezing,-4.806660970052083,0.39124143920898435,-0.001709,-0.013428,0.011719,neutral,84.0,0.3166,0.015,0.0752,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: spread=31.7%>25%
CAG,WATCH_CONVERGE,1,Squeezing,-0.004424889882405594,0.41992767578125,-0.021484,0.004883,-0.026367,bearish,87.0,1.2976,0.0355,0.0355,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: spread=129.8%>25%
CHD,WATCH_CONVERGE,1,Squeezing,-1.0100008646647134,,,,,neutral,0.0,,,,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=0<50
CINF,WATCH_CONVERGE,1,Squeezing,-3.776669820149739,0.2166826379394531,-0.004639,0.061279,-0.065917,bearish,25.0,0.7581,0.0306,0.0919,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=25<50; spread=75.8%>25%
TKO,HOLD_WEAKEN,0,Squeezing,0.5466664632161459,0.39893179199218753,-0.001892,0.001099,-0.002991,neutral,86.0,0.3677,0.0272,0.0272,False,,0,0,0,NO_SKEW_DATA,Option liquidity too low: spread=36.8%>25%
AXON,SELL,0,Squeezing,-3.8400014241536455,0.5865214688110351,0.0,0.0,0.0,neutral,4.0,0.1429,0.0385,0.1615,False,,0,0,0,NO_SKEW_DATA,Option liquidity too low: volume=4<50
CPB,SELL,0,Squeezing,-0.11666679382324217,0.5136767382812499,-0.020508,-0.070312,0.049804,bullish,77.0,0.4307,0.0246,0.0246,False,,0,0,0,NO_SKEW_DATA,Option liquidity too low: spread=43.1%>25%
CPRT,WATCH_CONVERGE,1,Squeezing,-0.07666714986165363,0.43848217773437503,-0.021972,-0.00293,-0.019043,neutral,191.0,0.1756,0.0759,0.0759,True,False,-10,0.0,-10.0,DOWNGRADED,Put skew contradicts bullish setup
