ticker,base_signal,base_score,squeeze_state,momentum,atm_iv,call_skew,put_skew,risk_reversal,skew_bias,total_volume,avg_spread_pct,otm_call_distance,otm_put_distance,liquidity_ok,iv_overheated,skew_score_v2,final_score_v2,score_delta,final_action,reason
DHI,BUY,5,Squeezing,2.2983856201171875,0.43579665771484377,0.0,0.0,0.0,neutral,1.0,42.0,0.0088,0.2088,False,,0,5,0,NO_SKEW_DATA,Option liquidity too low: volume=1<50; spread=4200.0%>25%
GILD,BUY,4,Squeezing,4.388333638509114,0.37390762817382805,-0.000366,0.0,-0.000366,neutral,201.0,5.9672,0.0434,0.1263,False,,0,4,0,NO_SKEW_DATA,Option liquidity too low: spread=596.7%>25%
ADI,STRONG_BUY,3,Fired,14.04499816894531,,,,,neutral,0.0,,,,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=0<50
CAH,STRONG_BUY,3,Fired,7.378331502278645,,,,,neutral,0.0,,,,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=0<50
CFG,STRONG_BUY,3,Fired,2.0655479431152344,0.24878680908203127,-0.010498,-0.017578,0.00708,neutral,21.0,0.4625,0.0335,0.0335,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=21<50; spread=46.2%>25%
COST,STRONG_BUY,3,Fired,6.628651936848959,0.22902687484741213,-0.001907,-0.021805,0.019897,neutral,46.0,0.311,0.0364,0.0104,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=46<50; spread=31.1%>25%
DVN,STRONG_BUY,3,Fired,0.5583330790201823,0.37500625,-0.028808,-0.047363,0.018555,neutral,50.0,0.2127,0.1309,0.0218,True,,0,3,0,NO_SKEW_DATA,OTM strike distance too large: otm_call_dist=13.09%>10%
GEV,STRONG_BUY,3,Fired,45.736673990885414,0.4918568881225587,0.0,0.034195,-0.034195,bearish,5.0,0.6028,0.0889,0.1364,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=5<50; spread=60.3%>25%
LEN,STRONG_BUY,3,Fired,2.455000559488932,0.44775942871093743,0.0,0.097899,-0.097899,bearish,101.0,0.2045,0.1211,0.1267,True,,0,3,0,NO_SKEW_DATA,OTM strike distance too large: otm_call_dist=12.11%>10%; otm_put_dist=12.67%>10%
LYV,STRONG_BUY,3,Fired,5.4266713460286455,0.471684970703125,0.0,0.0,0.0,neutral,50.0,,0.2245,0.0245,True,,0,3,0,NO_SKEW_DATA,OTM strike distance too large: otm_call_dist=22.45%>10%
MKC,STRONG_BUY,3,Fired,2.4249998728434243,0.3220282641601562,-0.002197,-0.010986,0.008789,neutral,134.0,0.3155,0.0915,0.0915,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: spread=31.6%>25%
FITB,BUY,2,Squeezing,0.3716665903727213,0.229499892578125,-0.004883,0.039062,-0.043945,bearish,949.0,0.5842,0.0861,0.0861,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=58.4%>25%
AES,BUY,2,Squeezing,0.06248871485392252,0.07227490234375,0.0,0.080077,-0.080077,bearish,213.0,1.5516,0.0679,0.0679,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=155.2%>25%
ALGN,BUY,2,Squeezing,3.7899958292643228,0.5293015820312501,0.0,0.0,0.0,neutral,50.0,,0.3278,0.1278,True,,0,2,0,NO_SKEW_DATA,OTM strike distance too large: otm_call_dist=32.78%>10%; otm_put_dist=12.78%>10%
CNC,BUY,2,Squeezing,2.4916655222574864,,,,,neutral,0.0,,,,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=0<50
