ticker,base_signal,base_score,squeeze_state,momentum,atm_iv,call_skew,put_skew,risk_reversal,skew_bias,total_volume,avg_spread_pct,otm_call_distance,otm_put_distance,liquidity_ok,iv_overheated,skew_score_v2,final_score_v2,score_delta,final_action,reason
DOW,WATCH_CONVERGE,1,Squeezing,-1.1250006357828775,0.5097705273437501,0.001953,-0.006836,0.008789,neutral,55.0,0.0845,0.0253,0.0759,True,False,10,11,10.0,NO_TRADE,Squeeze + call skew confirmation
CHD,BUY,3,Squeezing,0.7816670735677083,,,,,neutral,0.0,,,,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=0<50
DGX,STRONG_BUY,3,Fired,0.6633351643880208,0.25312026184082037,-0.005127,0.007019,-0.012146,neutral,14.0,0.2773,0.0264,0.0264,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=14<50; spread=27.7%>25%
HAS,BUY,3,Squeezing,2.5950012207031246,0.4102842175292969,-0.005493,0.050048,-0.055541,bearish,18.0,0.3026,0.0266,0.0532,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=18<50; spread=30.3%>25%
INCY,BUY,2,Squeezing,1.0666656494140625,0.4545952978515625,0.010132,-0.023071,0.033203,bullish,34.0,0.8541,0.0505,0.0505,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=34<50; spread=85.4%>25%
PEP,WATCH_CONVERGE,2,Squeezing,-0.760004679361979,0.23963162719726558,-0.006836,-0.007934,0.001099,neutral,306.0,0.108,0.0322,0.0322,True,False,0,2,0.0,NO_TRADE,No clear skew signal
WRB,BUY,2,Squeezing,0.4699986775716146,0.3210517114257812,0.0,-0.013306,0.013306,neutral,42.0,1.9717,0.0918,0.0373,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=42<50; spread=197.2%>25%
APD,BUY,2,Squeezing,5.363342285156249,0.3679872772216797,0.002014,-0.020263,0.022278,bullish,366.0,0.5452,0.0331,0.0331,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=54.5%>25%
BG,BUY,2,Squeezing,0.12833277384440095,0.33765310791015624,-0.011474,0.177,-0.188475,bearish,284.0,0.2756,0.1188,0.1979,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=27.6%>25%
BR,BUY,2,Squeezing,0.16333770751953125,0.37390762817382805,0.0,0.058349,-0.058349,bearish,21.0,0.4764,0.0311,0.1866,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=21<50; spread=47.6%>25%
CL,BUY,2,Squeezing,0.10249201456705725,0.31909860595703116,0.185545,0.0,0.185545,bullish,85.0,17.0,0.0592,0.1652,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=1700.0%>25%
DRI,BUY,2,Squeezing,6.185473124186197,0.3340520697021484,-0.010986,-0.054138,0.043151,bullish,6.0,0.2756,0.0255,0.0255,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=6<50; spread=27.6%>25%
EQT,WATCH_CONVERGE,2,Squeezing,-0.5650005340576172,0.36499658447265626,-0.003662,0.029785,-0.033447,bearish,5.0,0.1836,0.0338,0.0169,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=5<50
AEE,WATCH_CONVERGE,1,Squeezing,-1.2283325195312498,0.2254716125488281,-0.005249,0.122191,-0.12744,bearish,7.0,0.3625,0.0449,0.0449,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=7<50; spread=36.2%>25%
AEP,WATCH_CONVERGE,1,Squeezing,-0.22833506266276038,0.24268335449218748,-0.023071,0.016968,-0.040039,bearish,84.0,0.2852,0.0372,0.0372,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: spread=28.5%>25%
AMGN,SELL,1,Squeezing,-5.326670328776041,0.3161689477539062,0.0,0.216795,-0.216795,bearish,27.0,0.3056,0.0498,0.2071,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=27<50; spread=30.6%>25%
CNP,WATCH_CONVERGE,1,Squeezing,-0.7516663869222006,0.2004474487304687,0.0,0.579584,-0.579584,bearish,245.0,0.6667,0.0491,0.1868,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: spread=66.7%>25%
DTE,WATCH_CONVERGE,1,Squeezing,-2.1549962361653647,0.43628493408203123,0.065551,0.0,0.065551,bullish,1.0,,0.034,0.1882,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=1<50
EA,WATCH_CONVERGE,1,Squeezing,-0.6650034586588542,0.49646499633789065,0.0,0.0,0.0,neutral,30.0,,0.2119,0.0119,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=30<50
ES,WATCH_CONVERGE,1,Squeezing,-1.2699991861979165,0.23072058349609376,0.0,0.0,0.0,neutral,5.0,0.3333,0.0814,0.1186,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=5<50; spread=33.3%>25%
ETR,WATCH_CONVERGE,1,Squeezing,-2.1650009155273438,0.27234614379882804,-0.026489,0.003296,-0.029785,bearish,470.0,0.3345,0.0436,0.0436,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: spread=33.5%>25%
FICO,WATCH_CONVERGE,1,Squeezing,-40.253326416015625,0.5774883560180665,0.0,-0.010376,0.010376,neutral,2.0,0.2086,0.115,0.1349,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=2<50
CB,SELL,0,Squeezing,-2.10833740234375,0.2430495617675781,-0.020233,-0.026458,0.006226,neutral,9.0,0.2094,0.0153,0.0153,False,,0,0,0,NO_SKEW_DATA,Option liquidity too low: volume=9<50
CPRT,HOLD_WEAKEN,0,Squeezing,0.3950004577636718,0.4506890869140625,-0.01123,-0.029297,0.018066,neutral,87.0,0.2395,0.075,0.075,True,False,0,0.0,0.0,NO_TRADE,No clear skew signal
ORLY,SELL,0,Squeezing,-0.4083340962727864,0.33264827514648443,-0.023315,-0.01123,-0.012085,neutral,471.0,4.5665,0.0545,0.0545,False,,0,0,0,NO_SKEW_DATA,Option liquidity too low: spread=456.6%>25%
TSN,SELL,0,Squeezing,-0.6233317057291666,0.34400070068359373,-0.019531,0.018799,-0.03833,bearish,80.0,0.5569,0.0393,0.0393,False,,0,0,0,NO_SKEW_DATA,Option liquidity too low: spread=55.7%>25%
