ticker,base_signal,base_score,squeeze_state,momentum,atm_iv,call_skew,put_skew,risk_reversal,skew_bias,total_volume,avg_spread_pct,otm_call_distance,otm_put_distance,liquidity_ok,iv_overheated,skew_score_v2,final_score_v2,score_delta,final_action,reason
GIS,WATCH_CONVERGE,1,Squeezing,-0.1533342997233073,0.3305731005859375,0.012695,-0.034668,0.047363,bullish,1492.0,0.2304,0.0659,0.0659,True,False,10,11,10.0,NO_TRADE,Squeeze + call skew confirmation
GILD,BUY,4,Squeezing,1.9383341471354165,0.39063109375,-0.085448,-0.04663,-0.038818,bearish,93.0,1.4809,0.0737,0.0147,False,,0,4,0,NO_SKEW_DATA,Option liquidity too low: spread=148.1%>25%
APD,BUY,4,Squeezing,5.474995930989583,0.2710033837890625,-0.023254,-0.014526,-0.008728,neutral,11.0,0.3709,0.0323,0.0323,False,,0,4,0,NO_SKEW_DATA,Option liquidity too low: volume=11<50; spread=37.1%>25%
DHI,BUY,4,Squeezing,4.824256896972655,0.4776663562011719,0.0,0.0,0.0,neutral,1.0,2.2571,0.0721,0.1279,False,,0,4,0,NO_SKEW_DATA,Option liquidity too low: volume=1<50; spread=225.7%>25%
EFX,BUY,4,Squeezing,5.99499766031901,0.4666191033935547,-0.001587,0.244321,-0.245908,bearish,14.0,0.5608,0.0275,0.3023,False,,0,4,0,NO_SKEW_DATA,Option liquidity too low: volume=14<50; spread=56.1%>25%
FDX,BUY,4,Squeezing,3.3366648356119786,0.3394841442871094,0.00238,-0.030517,0.032898,bullish,58.0,0.966,0.0775,0.0155,False,,0,4,0,NO_SKEW_DATA,Option liquidity too low: spread=96.6%>25%
C,STRONG_BUY,3,Fired,5.1770477294921875,0.30408410766601557,-0.019409,-0.036377,0.016968,neutral,11.0,0.1395,0.0147,0.0147,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=11<50
CL,BUY,2,Squeezing,1.6999982198079426,0.36890279541015625,0.0,0.0,0.0,neutral,3.0,,0.0384,0.1616,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=3<50
MOS,BUY,2,Squeezing,0.8899997075398762,0.5507857421875001,0.0,-0.035156,0.035156,bullish,14.0,0.5065,0.0433,0.0216,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=14<50; spread=50.6%>25%
MPWR,BUY,2,Squeezing,11.808308919270832,0.6092797251129152,-0.014549,-0.040733,0.026184,bullish,36.0,0.128,0.0713,0.0143,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=36<50
MTB,BUY,2,Squeezing,2.539998372395833,0.2373733489990234,-0.016785,0.179381,-0.196165,bearish,54.0,0.5582,0.0397,0.1586,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=55.8%>25%
PNC,BUY,2,Squeezing,2.7799962361653643,0.23993679992675776,0.0,0.063781,-0.063781,bearish,262.0,2.6071,0.097,0.0787,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=260.7%>25%
SBUX,BUY,2,Squeezing,1.3050028483072915,0.42310147216796873,-0.185057,-0.035644,-0.149413,bearish,74.0,3.9315,0.0188,0.0188,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=393.2%>25%
USB,BUY,2,Squeezing,0.4850006103515625,0.23242955078125,0.003906,0.0,0.003906,neutral,201.0,1.5311,0.0622,0.111,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=153.1%>25%
ADI,BUY,2,Squeezing,4.1716664632161455,0.5105639764404297,0.024688,-0.000183,0.024872,bullish,16.0,0.2215,0.1168,0.013,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=16<50
ALGN,BUY,2,Squeezing,0.4674987792968752,0.5546919531250001,0.0,0.075927,-0.075927,bearish,53.0,81.0,0.0014,0.2313,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=8100.0%>25%
AWK,BUY,2,Squeezing,1.10333251953125,0.2518385363769531,-0.019653,-0.026611,0.006958,neutral,576.0,0.1269,0.0367,0.0367,True,False,0,2,0.0,NO_TRADE,No clear skew signal
AZO,BUY,2,Squeezing,82.44673665364583,0.35637164020538326,-0.000515,0.000912,-0.001427,neutral,24.0,0.3458,0.0986,0.0657,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=24<50; spread=34.6%>25%
BIIB,BUY,2,Squeezing,5.111666361490885,,,,,neutral,0.0,,,,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=0<50
CFG,BUY,2,Squeezing,1.4694608052571614,0.2791820129394531,-0.027954,0.059936,-0.08789,bearish,26.0,0.756,0.0343,0.0685,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=26<50; spread=75.6%>25%
CSGP,BUY,2,Squeezing,1.999999682108561,0.6030313134765627,-0.086425,-0.09619,0.009766,neutral,104.0,1.7779,0.1607,0.1607,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=177.8%>25%
ELV,BUY,2,Squeezing,8.008336385091146,0.32663637237548826,-0.004944,0.069,-0.073943,bearish,17.0,0.3659,0.0256,0.0256,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=17<50; spread=36.6%>25%
EXR,HOLD_WEAKEN,2,Squeezing,2.169995625813802,0.3259344750976562,-0.065307,-0.033447,-0.03186,bearish,6.0,0.6027,0.0341,0.0341,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=6<50; spread=60.3%>25%
FFIV,BUY,2,Squeezing,8.366673787434895,0.4154111193847656,-0.000549,-0.029937,0.029388,bullish,8.0,0.2726,0.0242,0.0483,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=8<50; spread=27.3%>25%
FLEX,WATCH_CONVERGE,2,Squeezing,-0.8833351135253905,0.6784700122070313,-0.01416,-0.036377,0.022217,bullish,98.0,0.5156,0.0408,0.0408,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=51.6%>25%
GEV,WATCH_CONVERGE,2,Squeezing,-36.160003662109375,0.5110522528076171,0.0,-0.001068,0.001068,neutral,15.0,0.239,0.0544,0.0988,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=15<50
PG,WATCH_CONVERGE,1,Squeezing,-0.9987157185872395,0.22571575073242187,0.0,-0.019897,0.019897,neutral,22.0,0.5312,0.0069,0.0069,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=22<50; spread=53.1%>25%
CASY,SELL,1,Squeezing,-19.886769612630207,0.45456478057861327,0.0,-0.041641,0.041641,bullish,72.0,0.7949,0.1807,0.064,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: spread=79.5%>25%
CCI,WATCH_CONVERGE,1,Squeezing,-1.876667022705078,0.3781800463867187,-0.018066,-0.024902,0.006836,neutral,44.0,0.2253,0.0339,0.0339,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=44<50
CNC,WATCH_CONVERGE,1,Squeezing,-0.07166798909505209,0.4279842358398438,0.150145,0.0,0.150145,bullish,13.0,1.9206,0.0925,0.1635,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=13<50; spread=192.1%>25%
DOW,WATCH_CONVERGE,1,Squeezing,-0.21166674296061194,0.42676354492187507,0.040527,0.02832,0.012207,neutral,229.0,0.3553,0.032,0.032,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: spread=35.5%>25%
FITB,WATCH_CONVERGE,1,Squeezing,-0.19166692097981772,0.264655791015625,0.01709,0.036621,-0.019531,neutral,73.0,0.7323,0.0868,0.0868,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: spread=73.2%>25%
IRM,SELL,0,Squeezing,-1.8800010681152344,,,,,neutral,0.0,,,,False,,0,0,0,NO_SKEW_DATA,Option liquidity too low: volume=0<50
ZTS,SELL,0,Squeezing,-0.19166564941406247,0.36963520996093746,-0.007568,-0.020019,0.012451,neutral,776.0,0.1241,0.0664,0.0664,True,False,-10,0.0,-10.0,DOWNGRADED,Call skew contradicts bearish setup
AIG,SELL,0,Squeezing,-0.4833335876464843,0.5893595751953126,0.0,0.0,0.0,neutral,0.0,,0.0641,0.2641,False,,0,0,0,NO_SKEW_DATA,Option liquidity too low: volume=0<50
