is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,1,-52.775065104166664,-31.785074869791664,True,False,賣出 (動能轉弱),2999.0,2026-08-26 00:00:00,3032.5540161132812,-7.158496093749818,False,False,1.3930361278672652,False,3.9147346662199722,67.49279001368666,3.96444767053489,4.134151284543827,-0.13182289271392866,-0.8174232203863818,-3.5962150955425987,-0.13182289271392866,False,False,False,False,False,False,0.11445813660750642,False,-0.0680981026347297,中性,AZO,AutoZone,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,81,0.4074074074074074,81,0.4074074074074074,99,0.2740740740740741,SPY,yfinance,2y,2026-08-26,scan_20260827_002139,False,False
True,1,0.10666688283284506,-0.13666629791259766,True,False,買入 (動能增強),28.06999969482422,2026-08-26 00:00:00,28.23050003051758,-0.07250003814697337,False,False,0.6517418783597726,False,0.03664108065558933,47.21915686969887,0.03665911056006561,0.0364251384175067,-0.005176847997978573,0.7233044537904298,1.7327004597345264,-0.005176847997978573,False,True,True,False,False,True,0.5118601125376939,False,-0.04911926627555685,偏強 (RS上升),BF-B,Brown–Forman,4,v1,phase6a,2026-07-12,1,5,4,5,4,5,v1,1,1.0,1,1.0,4,0.9777777777777777,SPY,yfinance,2y,2026-08-26,scan_20260827_002139,False,True
True,1,5.355000813802082,6.369995117187499,True,False,觀望 (動能減弱),956.1199951171875,2026-08-26 00:00:00,952.8584991455078,-0.8955017089843977,False,True,0.6889950008708948,False,1.2480680526679975,76.15641632739292,1.2473337586625564,1.2764052806050274,0.006197130103724469,0.05085249134404446,-1.8787874256975923,0.006197130103724469,True,False,False,False,False,True,0.2503083202858244,False,-0.029431904528000596,偏強 (RS上升),COST,Costco,0,v1,phase6a,2026-07-12,1,1,1,1,0,1,v1,90,0.34074074074074073,90,0.34074074074074073,90,0.34074074074074073,SPY,yfinance,2y,2026-08-26,scan_20260827_002139,False,False
True,1,0.47843933105468744,0.09389750162760416,True,False,買入 (動能增強),108.05000305175781,2026-08-26 00:00:00,107.51045608520508,-0.16434288024902344,True,True,0.7996080127158708,False,0.14104271178122377,83.06222868944144,0.14131031219507856,0.14436580252824754,-0.01992979157892094,-0.3453334832110966,-5.057365569642148,-0.01992979157892094,False,False,False,False,False,True,0.30820884954222083,False,-0.04433560030109274,中性,ED,Consolidated Edison,4,v1,phase6a,2026-07-12,0,4,5,4,4,4,v1,2,0.9925925925925926,2,0.9925925925925926,11,0.9259259259259259,SPY,yfinance,2y,2026-08-26,scan_20260827_002139,False,True
True,1,-0.0172882080078125,-0.20200729370117188,True,False,觀察 (跌勢收斂),107.2300033569336,2026-08-26 00:00:00,106.86658096313477,0.0039825439453125,False,True,0.6355332038776237,False,0.13997232790939376,136.09609810418794,0.14086457475651268,0.14574757653976297,-0.06663005335817429,-0.8769347223039459,-7.130778980971931,-0.06663005335817429,False,False,False,False,False,True,0.1853008491727368,False,-0.07272309707303315,中性,ETR,Entergy,1,v1,phase6a,2026-07-12,0,1,3,1,1,1,v1,52,0.6222222222222222,52,0.6222222222222222,65,0.5259259259259259,SPY,yfinance,2y,2026-08-26,scan_20260827_002139,False,False
True,1,-8.103322347005207,-5.413319905598959,True,False,賣出 (動能轉弱),1040.4599609375,2026-08-26 00:00:00,1036.7155059814454,2.9854980468751364,False,True,0.7796907673331597,False,1.35816094628073,152.97716810106985,1.3612341050047874,1.372270876604066,-0.023758847447929998,-0.24987574649759647,-4.2434070887062525,-0.023758847447929998,False,False,False,False,False,True,0.20852744421982794,False,-0.09687778568573024,中性,GS,Goldman Sachs,0,v1,phase6a,2026-07-12,0,0,2,0,0,0,v1,99,0.2740740740740741,99,0.2740740740740741,110,0.1925925925925926,SPY,yfinance,2y,2026-08-26,scan_20260827_002139,False,False
True,1,-0.0535240173339844,-0.19281450907389328,True,False,觀察 (跌勢收斂),41.38999938964844,2026-08-26 00:00:00,40.986433792114255,-0.038494300842288,True,True,0.8456409752452553,False,0.054028297914464896,65.81340844813994,0.053167550040509604,0.05153444574922752,0.1707050761149853,0.6687359600974441,2.294220011017023,0.1707050761149853,True,True,True,False,False,True,0.6857875072652613,False,-0.050547831207958804,偏強 (RS上升),IP,International Paper,1,v1,phase6a,2026-07-12,2,3,2,3,1,3,v1,57,0.5851851851851851,57,0.5851851851851851,42,0.6962962962962963,SPY,yfinance,2y,2026-08-26,scan_20260827_002139,False,False
True,1,-0.33555094401041674,-2.0984293619791665,True,False,觀察 (跌勢收斂),564.219970703125,2026-08-26 00:00:00,565.8272003173828,-0.8311340332031705,False,False,0.4353061554752217,False,0.7365026604485296,70.92031782083033,0.743582596061866,0.768200025838423,-0.10012474716699638,-0.2926403185677384,-5.7000508848610405,-0.10012474716699638,False,False,False,False,False,True,0.17883003183867774,False,-0.11142131084336149,中性,MSCI,MSCI,1,v1,phase6a,2026-07-12,0,1,1,1,1,1,v1,61,0.5555555555555556,61,0.5555555555555556,72,0.4740740740740741,SPY,yfinance,2y,2026-08-26,scan_20260827_002139,False,False
True,1,-28.0966796875,-26.02333577473958,True,False,賣出 (動能轉弱),1398.4599609375,2026-08-26 00:00:00,1416.7205078125,0.506500244140625,False,False,0.553062674818007,False,1.825475054485715,70.39323540066255,1.8286076245602954,1.777030304973308,-0.018029278859177378,-0.03451599091638391,3.8753937882075373,-0.018029278859177378,False,True,True,False,False,False,0.784363373408376,False,-0.032207639489619355,中性,MTD,Mettler Toledo,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,114,0.16296296296296298,114,0.16296296296296298,119,0.1259259259259259,SPY,yfinance,2y,2026-08-26,scan_20260827_002139,False,False
True,1,75.393310546875,79.63997395833333,True,False,觀望 (動能減弱),6368.1201171875,2026-08-26 00:00:00,6324.552514648438,-0.6834960937494543,True,True,0.908827056885,False,8.312604395267321,50.243043806971315,8.322593584121831,8.530968527938635,-0.012632609317420052,0.09807810270310302,-3.933780511591778,-0.012632609317420052,False,False,False,False,False,True,0.15087429313900938,False,-0.06743675766073598,中性,NVR,"NVR, Inc.",1,v1,phase6a,2026-07-12,1,2,2,2,1,2,v1,62,0.5481481481481482,62,0.5481481481481482,46,0.6666666666666666,SPY,yfinance,2y,2026-08-26,scan_20260827_002139,True,False
