is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ticker,name,has_houyi,has_whale,composite_score
True,1,0.1766662597656249,1.0233332316080728,True,False,觀望 (動能減弱),152.13999938964844,2026-04-24 00:00:00,BDX,Becton Dickinson,False,False,0
True,1,1.029998779296875,2.6283365885416665,True,False,觀望 (動能減弱),326.1199951171875,2026-04-24 00:00:00,CB,Chubb Limited,False,False,0
True,1,0.4733333587646484,0.5999997456868489,True,False,觀望 (動能減弱),33.06999969482422,2026-04-24 00:00:00,CPRT,Copart,False,False,0
True,1,0.470001220703125,0.6233342488606772,True,False,觀望 (動能減弱),155.44000244140625,2026-04-24 00:00:00,PEP,PepsiCo,False,False,0
True,1,3.7583338419596353,3.2183354695638022,True,False,買入 (動能增強),212.8699951171875,2026-04-24 00:00:00,PKG,Packaging Corporation of America,False,False,2
True,1,2.753331502278646,3.389996846516927,True,False,觀望 (動能減弱),221.8000030517578,2026-04-24 00:00:00,STE,Steris,False,False,0
True,1,0.08833312988281249,0.23000081380208331,True,False,觀望 (動能減弱),64.02999877929688,2026-04-24 00:00:00,TSN,Tyson Foods,False,False,0
True,1,-3.7599945068359375,-2.7399953206380205,True,False,賣出 (動能轉弱),430.2900085449219,2026-04-24 00:00:00,VRTX,Vertex Pharmaceuticals,False,False,0
False,0,-6.36230214436849,-4.901870727539062,False,True,強烈賣出 (跌破),198.7100067138672,2026-04-24 00:00:00,ABBV,AbbVie,False,False,0
True,0,0.7383333841959634,1.386665344238281,True,False,觀望 (動能減弱),96.19000244140625,2026-04-24 00:00:00,ACGL,Arch Capital Group,False,True,2
True,0,4.906667073567707,5.0566660563151045,True,False,觀望 (動能減弱),245.44000244140625,2026-04-24 00:00:00,ADBE,Adobe Inc.,False,False,0
True,0,-0.2783342997233072,0.44499842325846356,True,False,賣出 (動能轉弱),111.12000274658203,2026-04-24 00:00:00,AEE,Ameren,False,False,0
True,0,2.8050003051757812,5.063334147135417,True,False,觀望 (動能減弱),215.3800048828125,2026-04-24 00:00:00,AJG,Arthur J. Gallagher & Co.,False,False,0
True,0,2.7966690063476562,2.3000030517578125,True,False,買入 (動能增強),146.10000610351562,2026-04-24 00:00:00,ALLE,Allegion,False,False,2
True,0,0.6599934895833333,1.6016642252604165,True,False,觀望 (動能減弱),344.54998779296875,2026-04-24 00:00:00,AMGN,Amgen,False,False,0
True,0,4.161661783854167,7.478327433268229,True,False,觀望 (動能減弱),321.1400146484375,2026-04-24 00:00:00,AON,Aon plc,False,False,0
True,0,-0.2200024922688802,0.11166381835937497,True,False,賣出 (動能轉弱),64.37999725341797,2026-04-24 00:00:00,AOS,A. O. Smith,False,False,0
True,0,5.0216725667317705,5.412775675455729,True,False,觀望 (動能減弱),301.760009765625,2026-04-24 00:00:00,APD,Air Products,False,False,0
True,0,-2.5616683959960938,-1.2400004069010417,True,False,賣出 (動能轉弱),165.5,2026-04-24 00:00:00,AVY,Avery Dennison,False,False,0
False,0,-0.1616649627685547,0.6366685231526692,False,True,強烈賣出 (跌破),60.45000076293945,2026-04-24 00:00:00,BBY,Best Buy,False,False,0
True,0,-3.8250007629394527,-3.995000203450521,True,False,觀察 (跌勢收斂),124.9000015258789,2026-04-24 00:00:00,BG,Bunge Global,False,False,1
False,0,1.3816661834716797,0.404998779296875,False,True,強烈買入 (爆發),68.94000244140625,2026-04-24 00:00:00,BKR,Baker Hughes,False,False,3
True,0,-0.28517087300618493,-0.23023923238118493,True,False,賣出 (動能轉弱),58.709999084472656,2026-04-24 00:00:00,BMY,Bristol Myers Squibb,False,False,0
True,0,-1.5016632080078125,-0.6883316040039062,True,False,賣出 (動能轉弱),155.07000732421875,2026-04-24 00:00:00,BR,Broadridge Financial Solutions,False,False,0
True,0,1.7066675821940103,1.675000508626302,True,False,買入 (動能增強),95.0199966430664,2026-04-24 00:00:00,CHD,Church & Dwight,False,False,2
True,0,-0.7510477701822917,-1.0386072794596355,True,False,觀察 (跌勢收斂),84.6500015258789,2026-04-24 00:00:00,CL,Colgate-Palmolive,False,False,1
False,0,-3.1871884663899737,-2.2480125427246094,False,True,強烈賣出 (跌破),98.68000030517578,2026-04-24 00:00:00,CLX,Clorox,False,False,0
True,0,-0.878332773844401,-0.6400000254313151,True,False,賣出 (動能轉弱),42.470001220703125,2026-04-24 00:00:00,CNP,CenterPoint Energy,False,False,0
False,0,-5.423329671223958,-0.5599975585937502,False,True,強烈賣出 (跌破),308.19000244140625,2026-04-24 00:00:00,COR,Cencora,False,False,0
True,0,-0.4949995676676432,-0.2849998474121093,True,False,賣出 (動能轉弱),62.58000183105469,2026-04-24 00:00:00,D,Dominion Energy,False,False,0
True,0,2.0782826741536455,1.694325764973958,True,False,買入 (動能增強),196.27000427246094,2026-04-24 00:00:00,DGX,Quest Diagnostics,False,False,2
True,0,0.19018395741780597,0.3197221755981445,True,False,觀望 (動能減弱),16.43000030517578,2026-04-24 00:00:00,DOC,Healthpeak Properties,False,True,2
False,0,7.274241129557291,6.64014180501302,False,True,強烈買入 (爆發),201.05999755859375,2026-04-24 00:00:00,DRI,Darden Restaurants,False,False,3
True,0,-0.10500017801920569,0.4883333841959635,True,False,賣出 (動能轉弱),61.56999969482422,2026-04-24 00:00:00,DXCM,DexCom,False,False,0
True,0,1.428334554036458,0.1533355712890624,True,False,買入 (動能增強),151.85000610351562,2026-04-24 00:00:00,DVA,DaVita,False,False,2
True,0,4.7583262125651045,6.551666259765624,True,False,觀望 (動能減弱),269.489990234375,2026-04-24 00:00:00,ECL,Ecolab,False,False,0
False,0,-2.247553507486979,0.1635360717773436,False,True,強烈賣出 (跌破),233.6199951171875,2026-04-24 00:00:00,ERIE,Erie Indemnity,False,False,0
True,0,-1.3733329772949219,-1.026667277018229,True,False,賣出 (動能轉弱),68.63999938964844,2026-04-24 00:00:00,ES,Eversource Energy,False,False,0
True,0,0.23499933878580728,-0.24666722615559894,True,False,買入 (動能增強),84.1500015258789,2026-04-24 00:00:00,EW,Edwards Lifesciences,False,False,2
False,0,-59.90833536783853,-41.68997192382812,False,True,強烈賣出 (跌破),1004.719970703125,2026-04-24 00:00:00,FICO,Fair Isaac,False,False,0
True,0,-5.409998575846354,-3.0816650390625,True,False,賣出 (動能轉弱),193.75999450683594,2026-04-24 00:00:00,FSLR,First Solar,False,False,0
True,0,0.2666676839192708,-0.34499867757161456,True,False,買入 (動能增強),40.36000061035156,2026-04-24 00:00:00,HAL,Halliburton,False,False,2
True,0,3.17666753133138,3.6316668192545576,True,False,觀望 (動能減弱),95.08000183105469,2026-04-24 00:00:00,HAS,Hasbro,False,False,0
True,0,1.058329264322917,7.519999186197917,True,False,觀望 (動能減弱),565.9299926757812,2026-04-24 00:00:00,IDXX,Idexx Laboratories,False,False,0
True,0,0.4766654968261718,1.0983314514160156,True,False,觀望 (動能減弱),71.13999938964844,2026-04-24 00:00:00,IFF,International Flavors & Fragrances,True,False,1
True,0,-0.4999949137369797,2.1750030517578125,True,False,賣出 (動能轉弱),162.27999877929688,2026-04-24 00:00:00,IQV,IQVIA,False,False,0
False,0,14.24000040690104,11.79999796549479,False,True,強烈買入 (爆發),482.2200012207031,2026-04-24 00:00:00,ISRG,Intuitive Surgical,False,False,3
