is_squeezed,energy_level,momentum,fired,timestamp,ticker
True,3,0.03333346048990885,False,2026-03-19 00:00:00,4502.TWO
True,2,0.30833339691162104,False,2026-03-20 00:00:00,3252.TWO
True,2,6.357828776023163e-07,False,2026-03-20 00:00:00,4558.TWO
True,2,0.0033334096272786455,False,2026-03-20 00:00:00,5531.TW
True,2,0.14166657129923502,False,2026-03-20 00:00:00,8024.TWO
True,2,0.041666666666666664,False,2026-03-20 00:00:00,8450.TWO
True,1,0.4833335876464843,False,2026-03-20 00:00:00,1722.TW
True,1,-0.4666665395100911,False,2026-03-19 00:00:00,1730.TW
True,1,-0.08333333333333333,False,2026-03-19 00:00:00,1742.TWO
True,1,0.08333301544189453,False,2026-03-19 00:00:00,1813.TWO
True,1,0.4166673024495443,False,2026-03-20 00:00:00,2027.TW
True,1,-0.33333301544189453,False,2026-03-20 00:00:00,2061.TWO
True,1,-0.43333307902018225,False,2026-03-20 00:00:00,2539.TW
True,1,-0.23333295186360675,False,2026-03-20 00:00:00,2540.TW
True,1,-0.36666615804036456,False,2026-03-19 00:00:00,2926.TWO
True,1,-1.5,False,2026-03-20 00:00:00,3130.TW
True,1,-0.9833329518636068,False,2026-03-20 00:00:00,3205.TWO
True,1,0.22499910990397134,False,2026-03-19 00:00:00,3426.TWO
True,1,-0.17499987284342444,False,2026-03-20 00:00:00,4153.TWO
True,1,-0.1999994913736979,False,2026-03-20 00:00:00,4726.TWO
True,1,0.04166634877522786,False,2026-03-20 00:00:00,4972.TWO
True,1,0.2999992370605469,False,2026-03-20 00:00:00,4987.TWO
True,1,0.28333314259847,False,2026-03-20 00:00:00,5205.TWO
True,1,0.07500012715657552,False,2026-03-20 00:00:00,5220.TWO
True,1,-0.31666819254557294,False,2026-03-20 00:00:00,5312.TWO
True,1,0.10000006357828775,False,2026-03-20 00:00:00,5348.TWO
True,1,-0.15666675567626956,False,2026-03-20 00:00:00,5355.TWO
True,1,0.29166682561238605,False,2026-03-20 00:00:00,5450.TWO
True,1,0.05833339691162109,False,2026-03-20 00:00:00,5514.TWO
True,1,0.00499995549519857,False,2026-03-20 00:00:00,5907.TW
True,1,0.28333409627278644,False,2026-03-20 00:00:00,6023.TWO
True,1,0.5833333333333333,False,2026-03-20 00:00:00,6523.TWO
